run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes,all_finished_time_seconds
1,5.719651,55.423517241379315,2638157,5.719782
2,5.719684,55.423517241379315,2638157,5.719782
3,5.719699,55.423517241379315,2638157,5.719782
4,5.719712,55.423517241379315,2638157,5.719782
5,5.719725,55.423517241379315,2638157,5.719782
6,5.719737,55.423517241379315,2638157,5.719782
7,5.719749,55.423517241379315,2638157,5.719782
8,5.719761,55.423517241379315,2638157,5.719782
9,5.719771,55.423517241379315,2638157,5.719782
10,5.719782,55.423517241379315,2638157,5.719782
