run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes
1,10.721025,127.058,2638157
2,7.616792,113.18807894736842,2638157
3,7.517385,101.29666666666667,2638157
4,11.42843,76.54375438596492,2638157
5,12.630503,95.00463492063493,2638157
6,13.230596,92.87891666666667,2638157
7,11.630499,78.88187068965517,2638157
8,12.227117,86.20722131147541,2638157
9,9.922286,142.5312323232323,2638157
10,14.035755,91.31578571428571,2638157
