run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes,all_finished_time_seconds
1,9.028945,124.87615384615384,2638157,9.02907
2,9.028964,124.87615384615384,2638157,9.02907
3,9.028977,124.87615384615384,2638157,9.02907
4,9.028999,124.87615384615384,2638157,9.02907
5,9.029013,124.87615384615384,2638157,9.02907
6,9.029026,124.87615384615384,2638157,9.02907
7,9.029037,124.87615384615384,2638157,9.02907
8,9.029048,124.87615384615384,2638157,9.02907
9,9.029059,124.87615384615384,2638157,9.02907
10,9.02907,124.87615384615384,2638157,9.02907
