run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes
1,24.158319,52.06351867219917,2638157
2,20.545929,37.59439024390244,2638157
3,26.058287,46.411846153846156,2638157
4,23.859022,50.114861344537815,2638157
5,23.556048,49.845404255319146,2638157
6,24.859969,46.402016129032255,2638157
7,22.655092,53.5884778761062,2638157
8,22.455267,52.535683035714285,2638157
9,23.6555,50.42925847457627,2638157
10,58.252609,19.74560068846816,2638157
