run,total_time_seconds,average_download_rate_kB_s,total_downloaded_bytes,all_finished_time_seconds
1,10.935325,171.18822727272726,2638157,10.935483
2,10.935364,171.18822727272726,2638157,10.935483
3,10.935382,171.18822727272726,2638157,10.935483
4,10.935398,171.18822727272726,2638157,10.935483
5,10.935413,171.18822727272726,2638157,10.935483
6,10.935428,171.18822727272726,2638157,10.935483
7,10.935442,171.18822727272726,2638157,10.935483
8,10.935456,171.18822727272726,2638157,10.935483
9,10.935469,171.18822727272726,2638157,10.935483
10,10.935483,171.18822727272726,2638157,10.935483
